Date,Description,Amount
2021-04-26,External Withdrawal VENMO  - PAYMENT,11.0
2021-04-26,External Withdrawal VENMO  - PAYMENT,5.0
2021-04-26,"Point Of Sale Withdrawal  LS GAME-SET-MATCH, IN  BOULDER      COUS",40.25
2021-04-26,Point Of Sale Withdrawal  SPOTIFY USA            NEW YORK     NYUS,5.44
2021-04-26,Point Of Sale Withdrawal  LA CHOZA #3            BOULDER      COUS,11.8
2021-04-26,Point Of Sale Withdrawal WENDY'S - 11318 2720 BASELINE RD       BOULDER      COUS,4.57
2021-04-23,Point Of Sale Withdrawal  EINSTEIN BROS BAGELS24 BOULDER      COUS,5.98
2021-04-21,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,12.0
2021-04-20,Withdrawal Internet Transfer to 443091310100,7000.0
2021-04-20,Point Of Sale Withdrawal  THE CORNER             BOULDER      COUS,13.62
2021-04-20,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,72.32
2021-04-19,Point Of Sale Withdrawal TRADER JOE'S #3 1906 28TH ST           BOULDER      COUS,30.33
2021-04-19,Point Of Sale Withdrawal ADVANCE AUTO PA 2633 30TH ST           BOULDER      COUS,48.95
2021-04-19,External Withdrawal VENMO  - PAYMENT,22.0
2021-04-19,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,7.41
2021-04-19,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,20.67
2021-04-17,Point Of Sale Withdrawal  THE BARBER JOINT       NEW YORK CITYNYUS,33.0
2021-04-17,Point Of Sale Withdrawal  SAFEWAY #0637          STEAMBOAT SPRCOUS,28.5
2021-04-16,Point Of Sale Withdrawal 7-ELEVEN 1091 13TH          US  BOULDER      COUS,3.83
2021-04-16,Point Of Sale Withdrawal  HITCHIN POST           HARTLEY      TXUS,2.75
2021-04-16,Point Of Sale Withdrawal  CHICK-FIL-A #04630     BROWNWOOD    TXUS,4.64
2021-04-16,Point Of Sale Withdrawal  WHICH WICH #757        DALHART      TXUS,7.52
2021-04-16,Point Of Sale Withdrawal  WHATABURGER 1031       LUBBOCK      TXUS,6.47
2021-04-15,Point Of Sale Withdrawal  CKE*ONE GUY FROM ITALY LUBBOCK      TXUS,7.5
2021-04-13,External Withdrawal VENMO  - PAYMENT,130.0
2021-04-09,External Withdrawal UNIV OF CO BLDR ECHECK DEPOSIT - CU BOULDER,169.82
2021-04-07,External Withdrawal VENMO  - PAYMENT,650.0
2021-04-06,Point Of Sale Withdrawal NST THE HOME DE 10515 N MOPAC NC EXPRSWAUSTIN       TXUS,8.26
2021-04-06,External Withdrawal POINT WEST PROPE  - ACH,800.0
2021-04-05,Point Of Sale Withdrawal  DOMINO'S 6981          254-396-5724 TXUS,22.26
2021-04-05,Point Of Sale Withdrawal  WAKEFIELD OIL          MAYHILL      NMUS,32.93
2021-04-05,Point Of Sale Withdrawal  OLD APPLE BARN WGB     HIGH ROLLS   NMUS,15.35
2021-04-05,Point Of Sale Withdrawal  SNYDER ONE STOP        SNYDER       TXUS,51.81
2021-04-05,Point Of Sale Withdrawal MCDONALD'S F118 210 S FIRST ST         ARTESIA      NMUS,6.57
2021-04-05,Point Of Sale Withdrawal O'REILLY AUTO P 1501 W MAIN ST         ARTESIA      NMUS,16.17
2021-04-05,Point Of Sale Withdrawal NNT MAYHIL COUN 3497 US HIGHWAY 82     MAYHILL      NMUS,3.5
2021-04-05,Point Of Sale Withdrawal  GUERRILLA GRAPHIX      ALBUQUERQUE  NMUS,5.39
2021-04-05,Point Of Sale Withdrawal  EDELWEISS BISTRO AND D TAOS SKI VALLNMUS,18.6
2021-04-05,Point Of Sale Withdrawal  SQ *DAVES CAFE         CLOUDCROFT   NMUS,12.22
2021-04-05,Point Of Sale Withdrawal  THE SPOT BOULDERING GY BOULDER      COUS,70.0
2021-04-03,Point Of Sale Withdrawal ALLSUPS #102143 10 CURLEW PLACE        CLOUDCROFT   NMUS,6.99
2021-04-03,Point Of Sale Withdrawal ALLSUPS #102143 10 CURLEW PLACE        CLOUDCROFT   NMUS,3.22
2021-04-03,Point Of Sale Withdrawal  Speedway  910 St Franc Tularosa     NMUS,47.76
2021-04-03,Point Of Sale Withdrawal  Speedway  910 St Franc Tularosa     NMUS,6.89
2021-04-02,Point Of Sale Withdrawal  Speedway  1642 Paseo D El Prado     NMUS,32.12
2021-04-02,Point Of Sale Withdrawal  Speedway  1642 Paseo D El Prado     NMUS,2.49
2021-04-02,Point Of Sale Withdrawal LOWES SUPER SAV 519 PASEP DEL PUEBLO SUTAOS         NMUS,38.41
2021-04-01,Point Of Sale Withdrawal  CONOCO - ALTA CONVENIE FORT GARLAND COUS,1.28
2021-04-01,Point Of Sale Withdrawal  TST* ILLEGAL PETE S -  BOULDER      COUS,9.25
2021-03-31,Point Of Sale Withdrawal  HIGH ALTITUDE C        FORT GARLAND COUS,42.8
2021-03-31,Point Of Sale Withdrawal  ALTA CONVENIENCE       FORT GARLAND COUS,5.29
2021-03-31,Point Of Sale Withdrawal  WALGREENS 1111 BROADWA BOULDER      COUS,5.45
2021-03-31,Point Of Sale Withdrawal  BATTERIES PLUS #079    BOULDER      COUS,8.7
2021-03-31,Point Of Sale Withdrawal 7-ELEVEN 1091 13TH          US  BOULDER      COUS,7.26
2021-03-31,Point Of Sale Withdrawal  TARGET T- 2800 Pearl S Boulder      COUS,1.68
2021-03-31,ATM Withdrawal DATASTREAM ASAI 1995 W Midway Blvd US  Broomfield   COUS,18.0
2021-03-30,Point Of Sale Withdrawal  TST* BOSS LADY PIZZA - BOULDER      COUS,6.92
2021-03-30,Point Of Sale Withdrawal  SP * SEEKDISCOMFORT    3107549921   CAUS,62.99
2021-03-30,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,83.18
2021-03-30,Point Of Sale Withdrawal REI #44 BOULDER 1789 28TH ST           BOULDER      COUS,92.28
2021-03-29,Point Of Sale Withdrawal  TST* FAT SHACK - BOULD BOULDER      COUS,11.26
2021-03-29,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,7.41
2021-03-29,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,13.1
2021-03-29,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,21.99
2021-03-29,Point Of Sale Withdrawal  COURSRA60U631VVVQCE18  6509639884   CAUS,52.85
2021-03-29,Point Of Sale Withdrawal  CIRCLE K # 44058 1704  BOULDER      COUS,61.22
2021-03-27,Point Of Sale Withdrawal NST THE HOME DE 1600 29TH STREET       BOULDER      COUS,32.75
2021-03-26,External Withdrawal VENMO  - PAYMENT,10.0
2021-03-25,Point Of Sale Withdrawal  SPOTIFY USA            NEW YORK     NYUS,5.44
2021-03-23,Point Of Sale Withdrawal  U HAUL STORE 0072227   303-4422655  COUS,22.77
2021-03-23,Point Of Sale Withdrawal  U HAUL STORE 0072227   303-4422655  COUS,38.74
2021-03-23,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,7.41
2021-03-23,Point Of Sale Withdrawal  WESTERN DISPOSAL SERVI BOULDER      COUS,91.75
2021-03-23,Point Of Sale Withdrawal  WESTERN DISPOSAL SERVI BOULDER      COUS,91.75
2021-03-22,Point Of Sale Withdrawal  U HAUL STORE 0072227   BOULDER      COUS,58.26
2021-03-22,ATM Withdrawal DATASTREAM ASAI 1795 Folsom St     US  Boulder      COUS,68.0
2021-03-22,ATM Withdrawal DATASTREAM ASAI 1995 W Midway Blvd US  Broomfield   COUS,63.0
2021-03-22,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,18.99
2021-03-22,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,21.78
2021-03-19,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,8.5
2021-03-19,Point Of Sale Withdrawal  KING SOOP 1650 30TH ST BOULDER      COUS,167.43
2021-03-19,Point Of Sale Withdrawal NST THE HOME DE 1600 29TH STREET       BOULDER      COUS,52.13
2021-03-19,Point Of Sale Withdrawal  HALF FAST SUBS ON THE  BOULDER      COUS,17.97
2021-03-18,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,41.34
2021-03-17,Point Of Sale Withdrawal  THE CORNER             BOULDER      COUS,11.72
2021-03-17,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,14.28
2021-03-16,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,42.11
2021-03-15,Point Of Sale Withdrawal  TST* BOSS LADY PIZZA - BOULDER      COUS,12.3
2021-03-15,External Withdrawal VENMO  - PAYMENT,70.0
2021-03-15,Point Of Sale Withdrawal  EINSTEIN BROS BAGELS24 BOULDER      COUS,6.74
2021-03-15,Point Of Sale Withdrawal  HAZEL'S BEVERAGE WORLD BOULDER      COUS,67.88
2021-03-12,Point Of Sale Withdrawal #5700 EVERYDAY 1275 13TH ST           BOULDER      COUS,50.0
2021-03-10,Point Of Sale Withdrawal 7-ELEVEN 1091 13TH          US  BOULDER      COUS,14.89
2021-03-10,ATM Withdrawal DATASTREAM ASAI 1995 W Midway Blvd US  Broomfield   COUS,63.0
2021-03-10,Point Of Sale Withdrawal NST THE HOME DE 1600 29TH STREET       BOULDER      COUS,72.9
2021-03-09,Point Of Sale Withdrawal 7-ELEVEN 1091 13TH          US  BOULDER      COUS,7.05
2021-03-08,Point Of Sale Withdrawal  WALGREENS 1111 BROADWA BOULDER      COUS,10.12
2021-03-08,Point Of Sale Withdrawal  CLUB CAR               WINTER PARK  COUS,13.16
2021-03-08,Point Of Sale Withdrawal  EINSTEIN BROS BAGELS24 BOULDER      COUS,8.58
2021-03-06,Point Of Sale Withdrawal  BOULDER MUNI COURT     BOULDER      COUS,25.0
2021-03-05,Point Of Sale Withdrawal  JENNY'S MARKET #       IDAHO SPRINGSCOUS,2.7
2021-03-05,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,65.19
2021-03-03,Point Of Sale Withdrawal  THE SPOT BOULDERING GY BOULDER      COUS,70.0
2021-03-03,External Withdrawal POINT WEST PROPE  - ACH,800.0
2021-03-02,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,178.88
2021-03-02,ATM Withdrawal PAI ISO 1796 FOLSOM ST.        BOULDER      COUS,93.0
2021-03-01,Point Of Sale Withdrawal  DOMINO'S 6231          303-449-7101 COUS,65.48
2021-03-01,Point Of Sale Withdrawal  COURSRA60U631VVVQCE18  6509639884   CAUS,52.85
2021-03-01,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,9.92
2021-03-01,Point Of Sale Withdrawal  DOTS DINER ON THE HILL BOULDER      COUS,19.6
2021-02-27,Point Of Sale Withdrawal  SQ *BOVAS MARKET AND G BOULDER      COUS,4.31
2021-02-26,Point Of Sale Withdrawal  LA CHOZA #3            BOULDER      COUS,12.9
2021-02-25,Point Of Sale Withdrawal  SPOTIFY USA            NEW YORK     NYUS,5.44
2021-02-23,Point Of Sale Withdrawal  SP * SEEKDISCOMFORT    3107549921   CAUS,67.99
2021-02-22,Point Of Sale Withdrawal  TST* BOSS LADY PIZZA - BOULDER      COUS,5.0
2021-02-22,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,36.99
2021-02-22,Point Of Sale Withdrawal  SQ *BOVAS MARKET AND G BOULDER      COUS,9.76
2021-02-19,Point Of Sale Withdrawal  SHELL SERVICE S        BOULDER      COUS,56.45
2021-02-19,Point Of Sale Withdrawal  SMOKIN YARDS BBQ - IDA IDAHO SPRINGSCOUS,14.21
2021-02-18,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,7.19
2021-02-16,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,102.72
2021-02-16,ATM Withdrawal PAI ISO 1796 FOLSOM ST.        BOULDER      COUS,73.0
2021-02-16,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,7.19
2021-02-13,Point Of Sale Withdrawal  TST* ILLEGAL PETE S -  303-623-2169 COUS,7.95
2021-02-13,Point Of Sale Withdrawal  TST* ILLEGAL PETE S -  303-623-2169 COUS,12.7
2021-02-12,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,39.66
2021-02-12,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,19.58
2021-02-12,Point Of Sale Withdrawal  CIRCLE K # 44058 1704  BOULDER      COUS,50.78
2021-02-11,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,30.44
2021-02-11,Point Of Sale Withdrawal  SQ *BOVAS MARKET AND G BOULDER      COUS,8.13
2021-02-10,ATM Withdrawal PAI ISO 1796 FOLSOM ST.        BOULDER      COUS,103.0
2021-02-09,Point Of Sale Withdrawal  HAZEL'S BEVERAGE WORLD BOULDER      COUS,100.01
2021-02-08,ATM Withdrawal PAI ISO 1796 FOLSOM ST.        BOULDER      COUS,38.0
2021-02-08,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,41.49
2021-02-08,Point Of Sale Withdrawal  SQ *BOULDER BURGER INC BOULDER      COUS,10.36
2021-02-06,Point Of Sale Withdrawal  TST* ROXIE S TACOS     BOULDER      COUS,30.45
2021-02-06,Point Of Sale Withdrawal  SQ *WEST WING GRAB &amp; G NEDERLAND    COUS,4.46
2021-02-06,"Point Of Sale Withdrawal  VISTA HIGHER LEARNING, 8006187375   MAUS",176.33
2021-02-04,Point Of Sale Withdrawal  UNIVERSITY HILLS MARKE BOULDER      COUS,18.84
2021-02-04,Point Of Sale Withdrawal  E 470 EXPRESS TOLLS    303-5373470  COUS,9.3
2021-02-04,Point Of Sale Withdrawal  7-ELEVEN               BOULDER      COUS,6.53
2021-02-03,Point Of Sale Withdrawal  THE SPOT BOULDERING GY BOULDER      COUS,70.0
2021-02-03,External Withdrawal POINT WEST PROPE  - ACH,800.0
2021-02-03,Point Of Sale Withdrawal FIVE GUYS CO 16 1154 29TH STREET       BOULDER      COUS,8.11
2021-02-01,Point Of Sale Withdrawal  TST* BOSS LADY PIZZA - BOULDER      COUS,9.8
2021-02-01,Point Of Sale Withdrawal  TST* ROXIE S TACOS     BOULDER      COUS,26.13
2021-02-01,Point Of Sale Withdrawal  TST* ILLEGAL PETE S -  303-623-2169 COUS,7.62
2021-02-01,Point Of Sale Withdrawal  TST* ILLEGAL PETE S -  BOULDER      COUS,9.8
2021-02-01,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,124.38
2021-02-01,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,12.44
2021-02-01,Point Of Sale Withdrawal  ARAPAHOE COMM COLLEGE  3037974222   COUS,4461.85
2021-01-29,Point Of Sale Withdrawal  COURSRA60U631VVVQCE18  6509639884   CAUS,52.85
2021-01-29,Point Of Sale Withdrawal  TST* ILLEGAL PETE S -  BOULDER      COUS,7.95
2021-01-28,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,15.23
2021-01-28,Point Of Sale Withdrawal  7-ELEVEN               BOULDER      COUS,3.52
2021-01-26,Point Of Sale Withdrawal  LA CHOZA #3            BOULDER      COUS,11.81
2021-01-25,Point Of Sale Withdrawal  SPOTIFY USA            NEW YORK     NYUS,5.44
2021-01-25,Point Of Sale Withdrawal  BOULDER GAS 2700       BOULDER      COUS,50.06
2021-01-25,Point Of Sale Withdrawal  EINSTEIN BROS BAGELS24 BOULDER      COUS,7.4
2021-01-23,Withdrawal Internet Transfer to 443091310100,1000.0
2021-01-22,Point Of Sale Withdrawal  7-ELEVEN               BOULDER      COUS,3.62
2021-01-20,External Withdrawal VENMO  - PAYMENT,1000.0
2021-01-20,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,98.95
2021-01-19,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,7.41
2021-01-19,External Withdrawal VENMO  - PAYMENT,575.0
2021-01-19,Point Of Sale Withdrawal  TST* BOSS LADY PIZZA - BOULDER      COUS,4.9
2021-01-19,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,20.0
2021-01-19,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,6.5
2021-01-19,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,21.99
2021-01-15,ATM Withdrawal PAI ISO 1796 FOLSOM ST.        BOULDER      COUS,118.0
2021-01-14,Withdrawal Internet Transfer to 5000000181251,1000.0
2021-01-14,Withdrawal Internet Transfer to 443091310100,11000.0
2021-01-14,Point Of Sale Withdrawal NST THE HOME DE 1600 29TH STREET       BOULDER      COUS,24.44
2021-01-13,Point Of Sale Withdrawal NST THE HOME DE 1600 29TH STREET       BOULDER      COUS,23.13
2021-01-11,Point Of Sale Withdrawal TRADER JOE'S #3 1906 28TH ST           BOULDER      COUS,39.61
2021-01-11,Point Of Sale Withdrawal  ZERO TO MASTERY        3472153202   NYUS,29.0
2021-01-11,Point Of Sale Withdrawal  CU BOOK STORE WEB      3034923416   COUS,43.94
2021-01-08,Point Of Sale Withdrawal  THE SPOT BOULDERING GY BOULDER      COUS,70.0
2021-01-08,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,29.54
2021-01-07,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,13.19
2021-01-07,Point Of Sale Withdrawal  NORTHWEST PARKWAY LLC  303-9262500  COUS,5.75
2021-01-06,External Withdrawal POINT WEST PROPE  - ACH,800.0
2021-01-06,Point Of Sale Withdrawal  SQ *SILVER AND GOLD BA BOULDER      COUS,27.5
2021-01-06,Point Of Sale Withdrawal  SQ *WATCH GALAXY       BOULDER      COUS,14.0
2021-01-05,Point Of Sale Withdrawal MICHAELS STORES 1880 30TH ST           BOULDER      COUS,11.31
2021-01-05,Point Of Sale Withdrawal  TARGET T- 2800 Pearl S Boulder      COUS,1.51
2021-01-05,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,7.41
2021-01-05,Point Of Sale Withdrawal  CAFE MEXICALI - BOULDE BOULDER      COUS,11.03
2021-01-05,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,161.88
2021-01-04,Point Of Sale Withdrawal  SHELL SERVICE S        BOULDER      COUS,59.0
2020-12-29,External Withdrawal VENMO  - PAYMENT,75.0
2020-12-26,Point Of Sale Withdrawal  SPOTIFY USA            NEW YORK     NYUS,5.44
2020-12-23,External Withdrawal VENMO  - PAYMENT,75.0
2020-12-21,Point Of Sale Withdrawal  WHATABURGER 346    Q26 AUSTIN       TXUS,23.89
2020-12-21,Point Of Sale Withdrawal  7-ELEVEN 36609         AUSTIN       TXUS,10.05
2020-12-21,Point Of Sale Withdrawal  SMOKE N CHILL#3        AUSTIN       TXUS,8.95
2020-12-18,Point Of Sale Withdrawal  SMOKE N CHILL#3        AUSTIN       TXUS,3.24
2020-12-18,Withdrawal Internet Transfer to 443091310100,1000.0
2020-12-18,External Withdrawal VENMO  - PAYMENT,115.0
2020-12-17,Withdrawal Internet Transfer to 443091310100,403.0
2020-12-17,Point Of Sale Withdrawal  CHICK-FIL-A #0923      AUSTIN       TXUS,12.97
2020-12-14,Point Of Sale Withdrawal  TAPAS SKY BAR &amp; GRILL  DENVER       COUS,11.76
2020-12-14,Point Of Sale Withdrawal  TST* BOSS LADY PIZZA   BOULDER      COUS,9.8
2020-12-14,Point Of Sale Withdrawal  TST* BOSS LADY PIZZA   BOULDER      COUS,9.8
2020-12-11,Point Of Sale Withdrawal  THE SPOT BOULDERING GY BOULDER      COUS,85.0
2020-12-11,Point Of Sale Withdrawal  COURTFEE8007640844     CLINTON      UTUS,133.25
2020-12-10,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,9.92
2020-12-10,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,7.77
2020-12-07,External Withdrawal VENMO  - PAYMENT,138.0
2020-12-03,External Withdrawal VENMO  - RELOAD9069,290.0
2020-12-03,External Withdrawal POINT WEST PROPE  - ACH,800.0
2020-12-01,External Withdrawal VENMO  - ADDFUNDS,50.0
2020-12-01,External Withdrawal VENMO  - PAYMENT,16.0
2020-12-01,External Withdrawal VENMO  - RELOAD5929,10.0
2020-12-01,External Withdrawal VENMO  - RELOAD5929,10.0
2020-12-01,External Withdrawal VENMO  - RELOAD5929,30.0
2020-12-01,External Withdrawal VENMO  - RELOAD5929,10.0
2020-11-30,Withdrawal Internet Transfer to 443091310100,497.0
2020-11-30,External Withdrawal VENMO  - RELOAD3077,50.0
2020-11-30,External Withdrawal VENMO  - RELOAD4810,10.0
2020-11-30,Point Of Sale Withdrawal  HLU*HULU 1181044738852 HULU.COM/BILLCAUS,6.48
2020-11-30,External Withdrawal VENMO  - PAYMENT,25.0
2020-11-30,External Withdrawal VENMO  - PAYMENT,55.0
2020-11-30,External Withdrawal VENMO  - RELOAD9011,50.0
2020-11-25,Point Of Sale Withdrawal  SPOTIFY USA            NEW YORK     NYUS,5.4
2020-11-20,Point Of Sale Withdrawal  CVB 800-827-2982 IC    800-827-2982 TXUS,130.0
2020-11-19,Point Of Sale Withdrawal  TST* BOSS LADY PIZZA   BOULDER      COUS,9.8
2020-11-19,Point Of Sale Withdrawal  #5700 EVERYDAY STORE   BOULDER      COUS,57.81
2020-11-19,Point Of Sale Withdrawal  LA CHOZA #3            BOULDER      COUS,11.17
2020-11-18,Point Of Sale Withdrawal TRADER JOE'S #3 1906 28TH ST           BOULDER      COUS,24.63
2020-11-16,Point Of Sale Withdrawal  HAZEL'S BEVERAGE WORLD BOULDER      COUS,22.27
2020-11-16,Point Of Sale Withdrawal  BOULDER GAS 2700       BOULDER      COUS,42.17
2020-11-16,Point Of Sale Withdrawal  TWP*SUB27140087        WAPO.COM     DCUS,10.66
2020-11-16,Point Of Sale Withdrawal  MOSCA PIT STOP         MOSCA        COUS,45.72
2020-11-16,Point Of Sale Withdrawal  KING SOOP 1650 30TH ST BOULDER      COUS,61.74
2020-11-16,Point Of Sale Withdrawal NST THE HOME DE 1600 29TH STREET       BOULDER      COUS,48.08
2020-11-13,Withdrawal Internet Transfer to 443091310100,1000.0
2020-11-12,Withdrawal Internet Transfer to 443091310100,400.0
2020-11-12,Point Of Sale Withdrawal  THE SPOT BOULDERING GY BOULDER      COUS,74.0
2020-11-10,Withdrawal Internet Transfer to 443091310100,1000.0
2020-11-10,Point Of Sale Withdrawal  HALF FAST SUBS ON THE  BOULDER      COUS,9.5
2020-11-10,Point Of Sale Withdrawal  KING SOOP 3600 TABLE M BOULDER      COUS,99.19
2020-11-09,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,12.1
2020-11-09,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,40.25
2020-11-09,Point Of Sale Withdrawal  SQ *BOVAS MARKET AND G BOULDER      COUS,8.13
2020-11-09,Point Of Sale Withdrawal  LYFT   *RIDE THU 3PM   855-865-9553 CAUS,11.39
2020-11-07,Point Of Sale Withdrawal  TST* ILLEGAL PETE S -  BOULDER      COUS,9.25
2020-11-06,Point Of Sale Withdrawal  SAFEWAY #1615          BOULDER      COUS,73.88
2020-11-06,Point Of Sale Withdrawal  SAFEWAY #1615          BOULDER      COUS,142.31
2020-11-06,Point Of Sale Withdrawal FIRESTONE28851 3395 30TH ST           BOULDER      COUS,45.18
2020-11-04,External Withdrawal POINT WEST PROPE  - ACH,800.0
2020-11-04,Point Of Sale Withdrawal  LA CHOZA #3            BOULDER      COUS,10.81
2020-11-03,Point Of Sale Withdrawal WALGREENS STORE 1111 BROADWAY          BOULDER      COUS,13.47
2020-11-02,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,7.41
2020-10-30,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,8.71
2020-10-30,Point Of Sale Withdrawal  HLU*HULU 1181044731070 HULU.COM/BILLCAUS,6.48
2020-10-30,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,7.0
2020-10-30,Point Of Sale Withdrawal  PECKISH                ARVADA       COUS,18.55
2020-10-30,ATM Withdrawal PAI ISO 1796 FOLSOM ST.        BOULDER      COUS,48.0
2020-10-29,Point Of Sale Withdrawal  BARNES&amp;NOBLE.COM-BN    800-843-2665 NYUS,15.23
2020-10-28,Point Of Sale Withdrawal  CAFE MEXICALI - BOULDE BOULDER      COUS,11.27
2020-10-26,Withdrawal Internet Transfer to 443091310100,348.0
